id,classification_id,annotation,workflow_id,user_id,subject_id,event_time,gravityspy_id,ifo,main_channel_name,event_generator,annotation_channel_names,hveto_round_number
96,431614290,"{0,1,2}",21793,2436154,79008496,1262807482.625,nTEknDf9kiq0q6cx4INd,H1,H1:GDS-CALIB_STRAIN,None,"{H1:ASC-Y_TR_A_NSUM_OUT_DQ,H1:ASC-AS_A_RF45_I_YAW_OUT_DQ,H1:ASC-AS_A_RF45_I_PIT_OUT_DQ}",1
97,431614317,{2},21793,2436154,79008483,1262806175.8125,3j8Pfz2Rw7DXVRrpAovN,H1,H1:GDS-CALIB_STRAIN,None,{H1:ASC-AS_B_RF45_I_YAW_OUT_DQ},1
98,431614328,"{0,1,2}",21793,2436154,79008480,1262813589.4375,hJjNUFVj8h4mGUym1St9,H1,H1:GDS-CALIB_STRAIN,None,"{H1:ASC-AS_A_RF45_Q_PIT_OUT_DQ,H1:ASC-DHARD_P_OUT_DQ,H1:ASC-AS_B_RF45_I_YAW_OUT_DQ}",1
99,431614345,"{0,1,2}",21793,2436154,79008491,1262799565.9375,3nsITzWw9ot74zToHMIL,H1,H1:GDS-CALIB_STRAIN,None,"{H1:ASC-DHARD_Y_OUT_DQ,H1:ASC-AS_A_RF45_Q_YAW_OUT_DQ,H1:LSC-POP_A_LF_OUT_DQ}",1
100,431614358,"{0,1,2}",21793,2436154,79008487,1262814241.4375,v7PTMKTSIX3bfo5EJVvB,H1,H1:GDS-CALIB_STRAIN,None,"{H1:ASC-Y_TR_A_NSUM_OUT_DQ,H1:ASC-AS_A_RF45_I_YAW_OUT_DQ,H1:ASC-AS_A_RF45_I_PIT_OUT_DQ}",1
101,431614373,{},21793,2436154,79008490,1262795817.9375,safmZSDyRNQfjee9KmfU,H1,H1:GDS-CALIB_STRAIN,None,{},1
102,431614383,"{0,1}",21793,2436154,79008489,1262795817.9375,safmZSDyRNQfjee9KmfU,H1,H1:GDS-CALIB_STRAIN,None,"{H1:ASC-AS_A_RF45_Q_PIT_OUT_DQ,H1:ASC-DHARD_P_OUT_DQ}",1
103,431614410,"{0,1,2}",21793,2436154,79008486,1262814241.4375,v7PTMKTSIX3bfo5EJVvB,H1,H1:GDS-CALIB_STRAIN,None,"{H1:ASC-AS_A_RF45_Q_PIT_OUT_DQ,H1:ASC-DHARD_P_OUT_DQ,H1:ASC-AS_B_RF45_I_YAW_OUT_DQ}",1
104,421209677,"{0,1}",21793,1169509,76085088,1262375161.53125,T09GXJrw0ce8zZMFOeFQ,L1,L1:GDS-CALIB_STRAIN,None,"{L1:ASC-X_TR_A_PIT_OUT_DQ,L1:ASC-X_TR_B_YAW_OUT_DQ}",2
105,421209649,{0},21793,1169509,76085541,1262377684.6875,kSYmUumG85BNXzrOqU7Z,L1,L1:GDS-CALIB_STRAIN,None,{L1:IMC-IM4_TRANS_YAW_OUT_DQ},7
106,421210092,{},21793,1169509,76085184,1262355363.1875,kKY40Zp7kWphXKImkMNg,L1,L1:GDS-CALIB_STRAIN,None,{},5
107,421210149,{0},21793,1169509,76084874,1262798559.625,1WK9iIVlatgiUvYY8EYA,H1,H1:GDS-CALIB_STRAIN,None,{H1:ASC-AS_B_RF45_I_YAW_OUT_DQ},5
108,421210225,{0},21793,1169509,76085787,1262382826.15625,YDuqA9GDNBoklSqoP5Fh,L1,L1:GDS-CALIB_STRAIN,None,{L1:ASC-AS_A_RF45_Q_YAW_OUT_DQ},9
109,421210276,{},21793,1169509,76085106,1262813052.125,vHEO7IoXD3TFuSewNa08,H1,H1:GDS-CALIB_STRAIN,None,{},8
110,421210260,{},21793,1169509,76085247,1262388897.1875,MHZnBXPodHmxU3SRFlix,L1,L1:GDS-CALIB_STRAIN,None,{},7
111,421210309,"{0,2}",21793,1169509,76084873,1262798559.625,1WK9iIVlatgiUvYY8EYA,H1,H1:GDS-CALIB_STRAIN,None,"{H1:ASC-DHARD_P_OUT_DQ,H1:ASC-SRC2_Y_OUT_DQ}",5
112,421210341,{0},21793,1169509,76083619,1262375504.4375,1jGjqSeTwJ6FlaoE2D7F,L1,L1:GDS-CALIB_STRAIN,None,{L1:LSC-REFL_A_LF_OUT_DQ},1
113,421211051,"{0,1}",21793,1169509,76084883,1262812905.9375,sTDw5GBUQNUxouH21gal,H1,H1:GDS-CALIB_STRAIN,None,"{H1:ASC-AS_B_RF45_I_YAW_OUT_DQ,H1:ASC-AS_A_RF45_I_PIT_OUT_DQ}",5
114,421211109,{},21793,1169509,76085207,1262359865.6875,zTmqNVrQtV0FYetRxl24,L1,L1:GDS-CALIB_STRAIN,None,{},5
115,421211229,{0},21793,1169509,76083976,1262794936.5625,bL100MWqJ0lOEgiOIJk9,H1,H1:GDS-CALIB_STRAIN,None,{H1:ASC-AS_A_RF45_I_YAW_OUT_DQ},2
116,421211247,{},21793,1169509,76083955,1262371427.3125,ZIaH6DY7UrEIj7OVkMD1,L1,L1:GDS-CALIB_STRAIN,None,{},1
117,421211311,"{0,1,2}",21793,1169509,76085746,1262388370.84375,UhNkaJ9LLm5MoanaGANA,L1,L1:GDS-CALIB_STRAIN,None,"{L1:LSC-MICH_OUT_DQ,L1:LSC-REFL_A_LF_OUT_DQ,L1:LSC-REFL_A_RF45_I_ERR_DQ}",8
118,421211400,{},21793,1169509,76084963,1262811795.3125,TlU7TatUPPTeVp3JcrFo,H1,H1:GDS-CALIB_STRAIN,None,{},6
119,421211396,{},21793,1169509,76085090,1262375161.53125,T09GXJrw0ce8zZMFOeFQ,L1,L1:GDS-CALIB_STRAIN,None,{},2
120,421211471,{1},21793,1169509,76085031,1262811995.0625,rknt0iI3LQbxbY8cLuch,H1,H1:GDS-CALIB_STRAIN,None,{H1:ASC-AS_A_RF45_I_YAW_OUT_DQ},6
121,421474225,"{0,1}",21793,2450285,76085204,1262366338.693359,8bBnFz4ndnQKonUOYr6y,L1,L1:GDS-CALIB_STRAIN,None,"{L1:LSC-REFL_A_LF_OUT_DQ,L1:LSC-MICH_IN1_DQ}",5
122,421474723,{},21793,2450285,76085049,1262387823.703125,6OCPiiSG2cSxJFbq2XZq,L1,L1:GDS-CALIB_STRAIN,None,{},11
123,421474728,{},21793,2450285,76085802,1262386609.4375,7WI17PyXVKwkJtof1lGm,L1,L1:GDS-CALIB_STRAIN,None,{},9
124,421474735,{},21793,2450285,76085027,1262813119.125,HoT7IQUJjpem5v2rL6cR,H1,H1:GDS-CALIB_STRAIN,None,{},6
125,421474754,{},21793,2450285,76085122,1262385728.8125,7yDjfuDegvUxsUIhIiXB,L1,L1:GDS-CALIB_STRAIN,None,{},2
126,421474758,{},21793,2450285,76085039,1262389616.121093,xLIKPCBtlfMa9xnJG524,L1,L1:GDS-CALIB_STRAIN,None,{},11
127,421474760,{},21793,2450285,76083612,1262809307.0625,FebnkaKK5XVzNMhCZO1M,H1,H1:GDS-CALIB_STRAIN,None,{},1
